temporada;jornada;equip1;equip2;codi1;codi2;punts1;posicio1;pg1;pe1;pp1;avgf1;avgc1;punts2;posicio2;pg2;pe2;pp2;avgf2;avgc2;difposition;resultat
Temporada 2004-05;12;Sevilla;Espanyol;Temporada 2004-0512Sevilla;Temporada 2004-0512Espanyol;21;3;0,5;0,25;0,25;1,083333333;0,916666667;20;4;0,5;0,166666667;0,333333333;1,083333333;0,583333333;-1;1
Temporada 2004-05;12;Malaga;Valencia;Temporada 2004-0512Malaga;Temporada 2004-0512Valencia;12;16;0,25;0,25;0,5;0,833333333;1,083333333;19;5;0,416666667;0,333333333;0,25;1,583333333;0,916666667;11;2
Temporada 2004-05;12;Levante;Betis;Temporada 2004-0512Levante;Temporada 2004-0512Betis;19;7;0,5;0,083333333;0,416666667;1,333333333;1,25;18;10;0,333333333;0,5;0,166666667;1,333333333;1,25;-3;2
Temporada 2004-05;13;Valencia;Mallorca;Temporada 2004-0513Valencia;Temporada 2004-0513Mallorca;22;4;0,461538462;0,307692308;0,230769231;1,615384615;0,846153846;10;20;0,153846154;0,307692308;0,538461538;0,769230769;1,384615385;-16;1
Temporada 2004-05;13;R. Madrid;Levante;Temporada 2004-0513R. Madrid;Temporada 2004-0513Levante;25;2;0,615384615;0,076923077;0,307692308;1,615384615;0,692307692;19;10;0,461538462;0,076923077;0,461538462;1,230769231;1,538461538;-8;1
Temporada 2004-05;13;Numancia;Zaragoza;Temporada 2004-0513Numancia;Temporada 2004-0513Zaragoza;11;19;0,230769231;0,153846154;0,615384615;0,615384615;1,692307692;18;11;0,384615385;0,230769231;0,384615385;1,461538462;1,461538462;8;1
Temporada 2004-05;13;Malaga;Albacete;Temporada 2004-0513Malaga;Temporada 2004-0513Albacete;12;18;0,230769231;0,230769231;0,538461538;0,769230769;1,153846154;14;16;0,230769231;0,384615385;0,384615385;0,846153846;1,307692308;2;2
Temporada 2004-05;13;Betis;Villarreal;Temporada 2004-0513Betis;Temporada 2004-0513Villarreal;21;5;0,384615385;0,461538462;0,153846154;1,384615385;1,230769231;14;15;0,230769231;0,384615385;0,384615385;1,076923077;0,846153846;-10;1
Temporada 2004-05;13;Osasuna;Sevilla;Temporada 2004-0513Osasuna;Temporada 2004-0513Sevilla;20;7;0,461538462;0,153846154;0,384615385;1,384615385;1,461538462;21;6;0,461538462;0,230769231;0,307692308;1,076923077;1,153846154;1;1
Temporada 2004-05;13;Espanyol;Atletico;Temporada 2004-0513Espanyol;Temporada 2004-0513Atletico;23;3;0,538461538;0,153846154;0,307692308;1,153846154;0,615384615;19;9;0,384615385;0,307692308;0,307692308;1,076923077;0,769230769;-6;1
