corners1,fuerasDeJuego2,fuerasDeJuego1,faltasCometidas1,balonesRecuperados2,balonesPerdidos2,result2,faltasSancionadas2,faltasSancionadas1,result1,targetasRojas2,targetasRojas1,intervencionesPortero2,posesion1,rematesPuerta1,rematesPuerta2,season,faltasCometidas2,intervencionesPortero1,team1,team2,balonesRecuperados1,rematesEntreTresPalos2,penalties2,penalties1,rematesEntreTresPalos1,targetasAmarilas2,balonesPerdidos1,targetasAmarilas1,day,corners2
8,2,1,19,69,78,2,19,13,1,0,0,3,"54,66%",12,8,Temporada 2012-13,13,4,Málaga,R. Sociedad,60,4,0,0,4,2,87,4,Jornada 11,4
2,2,5,26,67,100,2,26,13,1,0,0,4,"51,36%",10,19,Temporada 2012-13,13,9,Levante,R. Madrid,77,7,0,0,4,1,103,6,Jornada 11,8
10,2,2,13,76,109,3,13,16,0,0,0,11,"59,23%",18,12,Temporada 2012-13,16,4,Espanyol,Osasuna,75,6,0,0,8,4,106,2,Jornada 11,8
9,5,1,,16,62,2,9,16,3,0,0,94,"65,2%",28,7,Temporada 2012-13,,89,Rayo,Celta,9,2,0,0,8,6,63,4,Jornada 11,2
7,2,1,19,54,78,3,19,11,5,0,0,4,"57,67%",23,12,Temporada 2012-13,11,4,Zaragoza,Deportivo,62,6,0,0,9,5,75,4,Jornada 11,6
6,1,3,12,63,84,2,12,16,1,0,0,6,"61,77%",14,12,Temporada 2012-13,16,3,Betis,Granada,57,3,0,0,5,7,91,1,Jornada 11,3
8,3,3,13,71,93,1,13,17,0,0,0,5,"58,54%",15,7,Temporada 2012-13,17,4,Zaragoza,Celta,68,3,0,0,3,1,90,3,Jornada 13,3
4,2,2,7,60,78,4,7,5,0,0,0,3,"23,57%",11,13,Temporada 2012-13,5,3,Levante,Barcelona,67,7,0,0,3,1,83,0,Jornada 13,8
4,6,0,,11,66,0,13,11,4,2,0,105,"55,16%",19,2,Temporada 2012-13,,90,Atlético,Sevilla,13,2,0,0,9,4,73,2,Jornada 13,6
13,4,1,16,62,94,1,16,8,1,0,0,12,"61,45%",26,9,Temporada 2012-13,8,9,Athletic,Deportivo,71,5,0,0,7,3,88,4,Jornada 13,4
6,4,3,13,82,111,2,13,17,0,0,0,10,"60,77%",11,10,Temporada 2012-13,17,8,Espanyol,Getafe,88,7,0,0,4,2,106,2,Jornada 13,4
1,3,9,22,78,100,0,22,7,1,0,0,5,"32,13%",9,18,Temporada 2012-13,7,15,Betis,R. Madrid,75,9,0,0,4,0,113,3,Jornada 13,10
4,3,1,7,74,98,0,7,16,1,0,0,9,"62,4%",10,14,Temporada 2012-13,16,6,Valladolid,Granada,70,1,0,0,5,4,103,1,Jornada 13,3
10,2,4,12,52,92,0,12,15,2,0,0,4,"64,21%",16,9,Temporada 2012-13,15,8,Rayo,Mallorca,60,6,0,0,3,3,88,2,Jornada 13,1
8,1,1,16,66,94,0,16,19,4,0,0,2,"48,93%",22,5,Temporada 2012-13,19,1,Málaga,Valencia,61,1,0,0,7,7,95,2,Jornada 13,4
9,5,0,10,94,120,0,10,16,0,0,0,5,"53,62%",13,19,Temporada 2012-13,16,7,R. Sociedad,Osasuna,86,5,0,0,3,4,128,3,Jornada 13,4
11,2,4,14,72,110,0,14,22,0,0,0,10,"62,01%",23,13,Temporada 2012-13,22,2,Granada,Espanyol,80,2,0,0,8,4,103,0,Jornada 14,2
12,3,3,9,73,98,3,9,16,2,0,0,9,"57,7%",17,12,Temporada 2012-13,16,8,Deportivo,Betis,78,7,0,0,7,5,98,2,Jornada 14,5
5,4,4,15,69,102,0,15,11,1,0,0,6,"44,44%",14,7,Temporada 2012-13,11,5,Getafe,Málaga,78,5,0,0,5,4,102,3,Jornada 14,5
3,1,4,19,63,92,0,19,23,2,0,0,5,"61,8%",13,4,Temporada 2012-13,23,5,R. Madrid,Atlético,63,3,0,0,8,5,91,1,Jornada 14,4
5,3,2,16,62,91,5,16,11,2,0,1,4,"39,17%",8,17,Temporada 2012-13,11,10,Valencia,R. Sociedad,65,12,0,0,4,2,82,2,Jornada 14,8
3,2,2,7,80,109,1,7,10,5,0,0,5,"56,71%",19,6,Temporada 2012-13,10,2,Barcelona,Athletic,76,2,0,0,11,3,95,1,Jornada 14,1
8,1,0,10,67,79,0,10,13,4,0,0,6,"43,68%",13,15,Temporada 2012-13,13,7,Levante,Mallorca,63,2,0,0,8,1,81,0,Jornada 15,5
7,4,2,16,75,103,0,16,20,1,0,0,4,"54,19%",10,11,Temporada 2012-13,20,5,Athletic,Celta,75,1,0,0,1,3,99,3,Jornada 15,6
4,3,5,17,66,94,2,17,11,1,0,0,5,"31,84%",10,13,Temporada 2012-13,11,6,Betis,Barcelona,70,9,0,0,4,2,91,3,Jornada 15,5
5,7,1,8,57,89,0,8,9,6,0,0,5,"50,31%",14,9,Temporada 2012-13,9,4,Atlético,Deportivo,67,2,0,0,9,2,76,0,Jornada 15,7
6,2,5,17,69,89,3,17,14,2,0,0,3,"41,24%",11,19,Temporada 2012-13,14,11,Valladolid,R. Madrid,59,12,0,0,5,3,96,3,Jornada 15,11
6,2,3,18,96,122,1,18,12,0,0,0,6,"50,57%",11,10,Temporada 2012-13,12,3,Osasuna,Valencia,82,3,0,0,4,2,122,2,Jornada 15,5
3,0,4,17,66,79,0,17,8,4,0,0,8,"48,37%",20,22,Temporada 2012-13,8,10,Málaga,Granada,58,10,0,0,10,0,83,3,Jornada 15,7
6,3,5,16,81,108,1,16,19,1,0,0,8,"60,64%",10,15,Temporada 2012-13,19,2,R. Sociedad,Getafe,84,3,0,0,3,6,109,2,Jornada 15,6
4,1,1,22,61,96,2,22,22,2,0,0,6,"40,86%",11,5,Temporada 2012-13,22,4,Espanyol,Sevilla,73,4,0,0,3,5,86,5,Jornada 15,3
12,2,4,8,80,105,0,8,16,4,0,0,8,"51,36%",26,7,Temporada 2012-13,16,2,R. Sociedad,Rayo,85,2,0,0,11,3,99,1,Jornada 12,5
4,2,1,14,74,100,1,14,11,0,0,0,4,"51,46%",13,12,Temporada 2012-13,11,9,Granada,Atlético,76,6,0,0,3,5,106,2,Jornada 12,9
5,0,4,12,69,97,1,12,16,2,0,0,11,"57,96%",19,13,Temporada 2012-13,16,5,Getafe,Valladolid,62,4,0,0,8,0,91,2,Jornada 12,3
3,2,1,22,63,98,1,22,18,5,0,0,9,"47,56%",21,5,Temporada 2012-13,18,4,Sevilla,Betis,68,3,0,0,14,4,90,3,Jornada 12,2
4,3,1,7,57,89,1,7,18,1,0,0,3,"60,49%",15,15,Temporada 2012-13,18,11,Celta,Mallorca,65,7,0,0,2,3,84,1,Jornada 12,12
5,0,0,30,66,95,1,30,17,2,2,0,9,"46,77%",10,11,Temporada 2012-13,17,7,Valencia,Espanyol,72,6,0,0,6,4,98,7,Jornada 12,3
12,5,10,17,70,112,0,17,13,0,0,0,10,"42,5%",18,14,Temporada 2012-13,13,6,Osasuna,Málaga,82,3,0,0,7,1,105,4,Jornada 12,4
10,3,1,12,60,83,2,12,11,0,0,0,8,"66,77%",24,12,Temporada 2012-13,11,1,Deportivo,Levante,72,2,0,0,4,4,82,7,Jornada 12,5
11,0,0,15,68,98,1,15,19,5,0,0,15,"49,24%",30,11,Temporada 2012-13,19,2,R. Madrid,Athletic,73,1,0,0,20,4,82,1,Jornada 12,4
5,4,2,6,60,75,1,6,15,3,0,0,1,"63,07%",8,13,Temporada 2012-13,15,3,Barcelona,Zaragoza,49,2,0,0,4,1,74,0,Jornada 12,7
6,3,0,11,85,123,1,11,11,3,0,0,9,"56,29%",19,8,Temporada 2012-13,11,7,Atlético,Osasuna,95,5,0,0,10,3,112,3,Jornada 9,4
3,3,1,9,85,109,1,9,13,3,0,0,8,"40,2%",10,10,Temporada 2012-13,13,5,Levante,Granada,83,2,0,0,5,2,109,1,Jornada 9,6
5,1,4,18,72,96,1,18,12,2,0,0,4,"38,46%",10,10,Temporada 2012-13,12,9,Zaragoza,Sevilla,69,7,0,0,6,5,103,3,Jornada 9,5
8,1,3,11,72,83,5,11,9,0,0,0,6,"35,19%",5,16,Temporada 2012-13,9,8,Mallorca,R. Madrid,54,8,0,0,0,2,100,2,Jornada 9,6
7,2,8,18,63,93,5,18,12,0,0,0,5,"45,25%",18,15,Temporada 2012-13,12,6,Rayo,Barcelona,58,10,0,0,3,1,99,4,Jornada 9,4
4,3,6,15,53,75,1,15,16,1,0,0,3,"43,57%",12,12,Temporada 2012-13,16,5,Celta,Deportivo,49,4,0,0,2,4,73,4,Jornada 9,10
8,0,3,7,60,88,0,7,12,1,0,0,7,"44,05%",8,10,Temporada 2012-13,12,7,Betis,Valencia,63,3,0,0,3,4,84,1,Jornada 9,7
6,0,3,19,72,88,0,19,21,0,0,0,7,"53,64%",11,13,Temporada 2012-13,21,6,Espanyol,Málaga,66,5,0,0,3,5,87,4,Jornada 9,8
6,8,2,13,67,95,2,13,18,3,1,0,7,"51,08%",13,14,Temporada 2012-13,18,4,Espanyol,Rayo,61,6,0,0,8,3,104,3,Jornada 8,2
7,3,3,18,75,97,2,18,17,1,0,1,4,"50,36%",5,15,Temporada 2012-13,17,6,Granada,Zaragoza,69,6,0,0,3,4,105,5,Jornada 8,4
10,0,1,11,68,89,1,11,14,0,0,0,9,"60,14%",15,12,Temporada 2012-13,14,4,R. Sociedad,Atlético,61,4,0,0,3,2,88,5,Jornada 8,6
4,7,3,16,80,109,0,16,11,0,0,0,3,"62,97%",11,7,Temporada 2012-13,11,4,Osasuna,Betis,80,2,0,0,2,1,113,3,Jornada 8,3
13,2,3,8,68,102,1,8,15,0,0,0,10,66%,18,6,Temporada 2012-13,15,5,Getafe,Levante,80,3,0,0,6,3,104,2,Jornada 8,2
8,2,4,9,68,98,1,9,23,2,0,0,7,"71,26%",15,11,Temporada 2012-13,23,6,Málaga,Valladolid,66,6,0,0,7,6,93,1,Jornada 8,1
5,4,1,13,56,74,5,13,14,4,0,0,7,"35,3%",14,10,Temporada 2012-13,14,3,Deportivo,Barcelona,60,7,0,0,10,4,71,4,Jornada 8,1
11,5,2,11,56,87,0,11,14,2,0,0,4,"61,27%",24,7,Temporada 2012-13,14,5,R. Madrid,Celta,60,3,0,0,4,2,75,3,Jornada 8,5
11,1,1,12,63,92,2,12,9,3,1,0,9,"60,59%",25,7,Temporada 2012-13,9,3,Valencia,Athletic,66,3,0,0,13,2,82,3,Jornada 8,5
5,6,3,13,74,106,0,13,23,4,0,0,7,"58,05%",16,7,Temporada 2012-13,23,6,Osasuna,Levante,74,1,0,0,8,3,104,2,Jornada 6,4
5,7,3,13,57,87,1,13,17,6,0,0,5,"45,64%",13,14,Temporada 2012-13,17,5,Valladolid,Rayo,65,5,0,0,10,3,84,1,Jornada 6,9
1,4,5,20,74,104,1,20,16,0,0,0,6,"56,83%",10,14,Temporada 2012-13,16,7,Espanyol,Atlético,77,5,0,0,3,3,106,3,Jornada 6,3
12,5,3,15,65,99,1,15,9,5,0,0,12,"59,05%",23,5,Temporada 2012-13,9,1,R. Madrid,Deportivo,75,2,0,0,13,3,88,2,Jornada 6,2
3,4,1,12,64,89,1,12,13,2,0,0,3,"39,54%",7,19,Temporada 2012-13,13,11,Granada,Celta,69,9,0,0,4,3,90,3,Jornada 6,8
6,6,5,,7,64,0,12,7,4,1,0,97,"61,04%",23,3,Temporada 2012-13,,81,Málaga,Betis,12,1,0,0,14,0,78,2,Jornada 6,6
3,3,0,20,55,78,0,20,11,2,0,0,5,"47,72%",12,17,Temporada 2012-13,11,12,Valencia,Zaragoza,58,8,0,0,5,2,78,4,Jornada 6,8
12,2,1,13,77,103,0,13,14,2,0,0,12,"46,16%",19,7,Temporada 2012-13,14,2,R. Sociedad,Athletic,82,1,0,0,10,5,95,1,Jornada 6,5
2,4,5,15,55,85,3,15,3,2,0,1,2,"31,55%",8,15,Temporada 2012-13,3,6,Sevilla,Barcelona,68,7,0,0,3,2,80,2,Jornada 6,7
