
corners1,fuerasDeJuego2,fuerasDeJuego1,faltasCometidas1,balonesRecuperados2,balonesPerdidos2,result2,faltasSancionadas2,faltasSancionadas1,result1,targetasRojas2,targetasRojas1,intervencionesPortero2,posesion1,rematesPuerta1,rematesPuerta2,season,faltasCometidas2,intervencionesPortero1,team1,team2,balonesRecuperados1,rematesEntreTresPalos2,penalties2,penalties1,rematesEntreTresPalos1,targetasAmarilas2,balonesPerdidos1,targetasAmarilas1,day,corners2
6,2,5,17,69,89,3,17,14,2,0,0,3,,11,19,Temporada 2012-13,14,11,Valladolid,R. Madrid,59,12,0,0,5,3,96,3,Jornada 15,11
6,2,3,18,96,122,1,18,12,0,0,0,6,,11,10,Temporada 2012-13,12,3,Osasuna,Valencia,82,3,0,0,4,2,122,2,Jornada 15,5
3,0,4,17,66,79,0,17,8,4,0,0,8,,20,22,Temporada 2012-13,8,10,Málaga,Granada,58,10,0,0,10,0,83,3,Jornada 15,7
6,3,5,16,81,108,1,16,19,1,0,0,8,,10,15,Temporada 2012-13,19,2,R. Sociedad,Getafe,84,3,0,0,3,6,109,2,Jornada 15,6
4,1,1,22,61,96,2,22,22,2,0,0,6,,11,5,Temporada 2012-13,22,4,Espanyol,Sevilla,73,4,0,0,3,5,86,5,Jornada 15,3
2,2,2,8,75,85,1,8,9,1,1,0,4,,9,15,Temporada 2012-13,9,5,Valladolid,Valencia,65,5,0,0,4,0,94,0,Jornada 11,10
7,2,0,20,67,105,0,20,13,2,0,0,7,,14,9,Temporada 2012-13,13,4,Atlético,Getafe,81,3,0,0,4,4,95,2,Jornada 11,6
2,2,5,26,67,100,2,26,13,1,0,0,4,,10,19,Temporada 2012-13,13,9,Levante,R. Madrid,77,7,0,0,4,1,103,6,Jornada 11,8
6,2,2,18,68,80,4,18,5,2,0,0,4,,5,12,Temporada 2012-13,5,2,Mallorca,Barcelona,68,5,0,0,3,1,91,1,Jornada 11,6
8,2,1,19,69,78,2,19,13,1,0,0,3,,12,8,Temporada 2012-13,13,4,Málaga,R. Sociedad,60,4,0,0,4,2,87,4,Jornada 11,4
10,2,2,13,76,109,3,13,16,0,0,0,11,,18,12,Temporada 2012-13,16,4,Espanyol,Osasuna,75,6,0,0,8,4,106,2,Jornada 11,8
7,2,1,19,54,78,3,19,11,5,0,0,4,,23,12,Temporada 2012-13,11,4,Zaragoza,Deportivo,62,6,0,0,9,5,75,4,Jornada 11,6
9,5,1,9,62,94,2,9,16,3,0,0,,,28,7,Temporada 2012-13,16,,Rayo,Celta,63,2,0,0,8,6,89,4,Jornada 11,2
6,1,3,12,63,84,2,12,16,1,0,0,6,,14,12,Temporada 2012-13,16,3,Betis,Granada,57,3,0,0,5,7,91,1,Jornada 11,3
4,2,1,14,74,100,1,14,11,0,0,0,4,,13,12,Temporada 2012-13,11,9,Granada,Atlético,76,6,0,0,3,5,106,2,Jornada 12,9
5,0,4,12,69,97,1,12,16,2,0,0,11,,19,13,Temporada 2012-13,16,5,Getafe,Valladolid,62,4,0,0,8,0,91,2,Jornada 12,3
4,3,1,7,57,89,1,7,18,1,0,0,3,,15,15,Temporada 2012-13,18,11,Celta,Mallorca,65,7,0,0,2,3,84,1,Jornada 12,12
3,2,1,22,63,98,1,22,18,5,0,0,9,,21,5,Temporada 2012-13,18,4,Sevilla,Betis,68,3,0,0,14,4,90,3,Jornada 12,2
